a/g,ax,ay,az,gx,gy,gz
-28,54,16328,50,7,6
-28,-24,16312,64,-19,-10
52,44,16390,58,4,-10
64,-24,16362,38,5,-10
-68,-18,16368,45,7,15
-24,-8,16422,26,6,-4
-22,64,16338,47,-5,9
-42,-46,16460,57,8,6
-16,46,16494,44,22,14
-16,-30,16310,40,3,5
-28,-22,16444,42,12,1
8,14,16438,53,13,6
-110,56,16302,43,20,-3
30,12,16492,47,8,8
12,-26,16310,38,-1,-8
82,-6,16346,48,0,2
78,-46,16412,41,1,-12
-46,-4,16316,48,11,18
4,14,16478,64,18,7
-30,0,16368,43,9,6
-2,16,16502,47,9,5
26,-12,16438,34,-5,-2
6,-18,16466,45,10,11
-36,-58,16272,50,-5,25
-44,-6,16404,51,10,-13
-100,-90,16524,57,-1,-2
44,-12,16482,42,23,-1
12,-36,16464,80,13,8
276,-44,16120,79,-74,-4
-50,36,16488,86,35,5
114,56,16314,50,-55,-3
-2,84,16110,66,-126,-4
152,-86,16266,54,-1,6
-26,-30,16232,67,-65,16
30,26,16330,63,7,10
-80,-32,16480,43,-3,-3
34,16,16416,43,11,-6
-16,-28,16374,54,16,18
-10,-2,16288,46,7,10
70,12,16444,52,18,19
4,-10,16480,54,-6,12
52,-38,16438,48,0,-5
46,74,16442,55,-29,-8
36,-8,16416,51,9,19
58,-60,16492,66,-16,2
100,-54,16368,56,18,10
-14,6,16498,43,12,-11
-66,44,16336,43,9,-2
-26,-18,16328,63,1,-8
34,-48,16440,44,2,-12
14,-24,16400,50,-12,-2
-56,-10,16382,58,-15,5
-288,-56,16764,-591,579,5
-128,-30,16522,-123,90,20
-90,-124,16398,8,16,-4
-80,-156,16322,40,24,-1
-4,-192,16476,109,3,4
-62,-174,16354,59,6,14
-106,-82,16564,71,-5,14
-38,-102,16576,53,-10,17
-72,-154,16398,54,8,-3
8,-76,16442,62,-1,3
-38,-146,16336,66,13,-6
-30,-168,16402,33,-20,21
-62,-112,16476,49,-9,-2
-90,-122,16510,54,9,-2
-54,-222,16348,32,18,-7
-70,-82,16384,44,23,12
-28,-116,16472,38,11,22
-92,-64,16654,43,2,-1
-100,-148,16380,48,-4,-5
-146,-162,16166,-16,117,17
-82,-154,16280,25,30,1
-124,-58,16444,60,18,15
20,-92,16290,21,29,17
-42,-174,16376,56,9,5
-76,-120,16426,36,24,-7
-98,-40,16448,-7,58,2
-40,-98,16452,-20,81,10
-80,-192,16504,12,28,-18
-60,-156,16288,42,-10,-1
-62,-156,16358,0,22,-20
-68,-144,16360,74,-18,5
-136,-148,16420,52,-2,-8
-102,-30,16394,85,-22,-13
-34,-82,16498,-1,-3,1
-108,-198,16332,-13,23,-10
-60,-136,16358,44,-11,-11
-46,-140,16380,82,-22,0
-92,-110,16460,87,-8,-14
-18,-112,16542,140,-3,4
-62,-124,16320,193,-49,33
58,-58,16272,329,-127,50
-530,-196,16540,109,-20,1
-28,-26,16288,151,-98,14
-46,20,16410,47,0,7
-78,72,16534,38,7,15
-18,-84,16520,49,10,7
-70,10,16446,48,-8,2
-100,-42,16404,44,-15,20
-96,-8,16508,48,11,-6
-20,34,16306,62,6,10
-96,-34,16230,37,6,8
-32,-60,16394,38,-2,9
14,-10,16482,58,-9,2
-24,32,16456,29,6,3
-108,-70,16486,69,-20,0
-56,74,16246,50,1,7
-56,70,16420,56,8,5
2,-22,16396,54,16,9
-60,6,16514,49,16,0
-92,-38,16378,53,-9,-3
-44,14,16552,53,-3,17
-104,52,16458,47,30,-13
2,-62,16422,55,10,0
-14,-44,16498,41,0,7
-22,-48,16342,64,0,3
-34,-82,16306,43,-3,2
-32,-70,16424,49,0,7
84,-20,16512,48,-5,-5
14,-22,16412,41,-5,1
-140,-54,16450,58,4,2
-32,-48,16288,49,12,11
-50,46,16438,37,3,-10
-28,20,16266,47,5,8
50,-92,16442,50,-22,10
-120,-108,16338,45,22,4
58,-48,16418,44,-4,0
-12,-62,16448,30,1,4
-44,-10,16364,33,12,-4
-10,-14,16390,46,15,6
14,22,16358,46,-4,1
-34,2,16420,43,-11,3
12,-44,16436,42,-2,-6
-94,-32,16392,55,8,8
-88,-42,16500,52,21,1
-62,42,16358,48,18,-2
-130,-64,16330,55,-8,7
8,-66,16480,53,-12,-2
-70,22,16496,56,-4,-1
-40,16,16330,40,10,10
6,10,16232,41,19,-8
-46,-130,16378,56,11,5
-64,12,16472,46,0,9
-6,-88,16348,44,3,17
-28,-48,16548,47,14,12
30,-36,16476,59,16,4
-96,-74,16414,58,5,13
-16,-50,16508,43,-17,8
